OrderID,CustomerName,Email,Phone,Country,OrderDate,Quantity,Price,CustomerAge,OrderStatus
1001,John Doe,john@email.com,5551234,USA,2023/01/15,5,19.99,28,Completed
1002,Jane Smith,jane@gmail.com,5552345,USA,2023/01/16,2,49.99,35,Completed
1003,John Doe,john@email.com,5551234,USA,2023/01/15,5,19.99,28,Completed
1006,Charlie Davis,,5555678,UK,2023/02/19,3,79.99,,Completed
1007,David Miller,david@email.com,5556789,UK,2023/02/20,1,199.99,,Processing
1008,Eve Wilson,eve.wilson@yahoo.com,5557890,USA,2023/02/21,7,14.99,29,Completed
1009,Frank Thomas,frank.thomas@email,,USA,2023/02/22,4,39.99,,Returned
1010,Grace Lee,grace@email.com,5558901,USA,2023/02/23,2,59.99,31,Completed
1012,Grace Lee,grace@email.com,5558901,USA,2023/02/23,2,59.99,31,Completed
1013,Iris Anderson,iris@email.com,5559012,USA,2023/03/01,5,44.99,26,Pending
1014,Jack Robinson,,5551111,USA,2023/03/02,3,89.99,33,Completed
1015,Karen White,karen@email.com,5552222,UK,2023/03/03,2,34.99,41,Shipped
1017,Mia Taylor,mia.taylor@email.com,5554444,USA,2023/03/05,6,24.99,27,Completed
1019,Olivia Martin,olivia@email.com,5556666,USA,2023/03/07,2,19.99,29,Completed
1020,Peter Clark,,5557777,USA,2023/03/08,4,44.99,,Completed
1021,Antonio,antonio@email.com,5557777,USA,2023/03/08,40000,440000.99,,Completed
1022,Quinn Rodriguez,quinn@email.com,5558888,USA,2023/03/09,3,54.99,42,Completed
1024,Sam Cooper,sam@email.com,,Canada,2023/03/11,5,24.99,,Processing
1025,Olivia Martin,olivia@email.com,5556666,USA,2023/03/07,2,19.99,29,Completed
1026,Tom Baker,tom.baker@email,5551212,UK,2023/03/12,8,19.99,,Completed
1029,Wendy Foster,wendy.foster@gmail.com,,USA,2023/03/15,4,29.99,44,Completed
1030,Xavier Brooks,xavier@email.com,5557878,USA,2023/03/16,2,64.99,28,Cancelled
1031,Yara Santos,yara@email.com,5559090,UK,2023/03/17,6,44.99,37,Completed
1032,Zoe Mitchell,,5551313,USA,2023/03/18,3,74.99,25,Shipped
1033,Adam Turner,adam.turner@email.com,5552424,USA,2023/03/19,7,14.99,,Completed
1035,Carlos Diaz, carlos@email.com ,5554646,Canada,2023/03/21,2,39.99,29,Completed
1036,Diana Hall,diana@yahoo.com,5555757,USA,2023/03/22,1,199.99,46,Pending
1037,Eric Young,eric@email.com,,UK,2023/03/23,4,29.99,,Completed
1038,Fiona King,fiona.king@email,5556868,USA,2023/03/24,5,54.99,,Shipped
1041,Ian Murphy,ian@email.com,5559191,USA,2023/03/27,2,84.99,36,Completed
1042,Julia Phillips, julia.phillips@gmail.com ,5551122,USA,2023/03/28,4,39.99,,Pending
1043,Kevin Collins,kevin@email.com,,UK,2023/03/29,1,29.99,52,Shipped
1044,Laura Edwards,laura.edwards@email,5553344,USA,2023/03/30,6,19.99,,Completed
1046,Nina Parker,,5555566,Canada,2023/04/01,5,44.99,28,Completed
1047,Oscar Reed,oscar@yahoo.com,,USA,2023/04/02,2,74.99,,Returned
1050,Rita Cooper,rita.cooper@email.com,5558899,USA,2023/04/05,3,64.99,47,Shipped
1051,Steve Richardson,steve@email.com,5559900,USA,2023/04/06,1,19.99,,Completed
1052,Tina Cox, tina@email.com ,5551010,USA,2023/04/07,4,89.99,26,Pending
1053,Ursula Howard,ursula@email.com,5552020,USA,2023/04/08,2,34.99,55,Completed
1055,Wendy Foster,wendy.foster@gmail.com,,USA,2023/03/15,4,29.99,44,Completed
1056,William Torres,william.torres@email,5554040,USA,2023/04/10,7,24.99,38,Shipped
1057,Xena Peterson,xena@email.com,5555050,USA,2023/04/11,5,79.99,29,Completed
1059,Zack James,,5557070,USA,2023/04/13,3,59.99,,Completed
1060,Amy Foster,amy.foster@email.com,5558080,UK,2023/04/14,2,44.99,34,Pending
1061,Brian Gray,brian@gmail.com,5559090,USA,2023/04/15,6,19.99,42,Completed
1063,Daniel Long,daniel@email.com,,USA,2023/04/17,4,54.99,,Processing
1064,Emma Hughes,,5552222,Canada,2023/04/18,1,29.99,27,Completed
1065,Frank Butler,frank.butler@email,5553333,USA,2023/04/19,8,14.99,46,Cancelled
1067,Harry Jenkins,harry@email.com,5555555,USA,2023/04/21,5,69.99,,Pending
1069,Jake Powell,jake.powell@email.com,5557777,USA,2023/04/23,2,84.99,53,Completed
1070,Katie Russell, katie@email.com ,5558888,USA,2023/04/24,7,24.99,28,Shipped
1072,Megan Diaz,megan@email.com,,USA,2023/04/26,4,39.99,45,Processing
1073,Nathan Hayes,nathan.hayes@email,5551212,UK,2023/04/27,1,199.99,,Pending
1074,Olivia Martin,olivia@email.com,5556666,USA,2023/03/07,2,19.99,29,Completed
1075,Paul Myers,paul@gmail.com,5553434,USA,2023/04/28,3,59.99,,Completed
1076,Quinn Ford,quinn@email.com,5555656,USA,2023/04/29,6,44.99,36,Shipped
1078,Simon Berry,simon.berry@email.com,5559090,USA,2023/05/01,8,19.99,,Returned
1079,Tracy Barnes, tracy@email.com ,5551313,Canada,2023/05/02,1,74.99,33,Cancelled
1081,Vanessa Henderson,vanessa@email.com,5552424,USA,2023/05/04,5,29.99,,Pending
1082,Walter Coleman,walter@email.com,5553535,USA,2023/05/05,4,89.99,,Completed
1084,Yvonne Patterson,yvonne.patterson@email,5555757,USA,2023/05/07,3,64.99,,Shipped
1085,Zachary Flynn,zachary@email.com,5556868,USA,2023/05/08,7,24.99,,Completed
1086,Abigail Reed,abigail@email.com,5557979,Canada,2023/05/09,2,44.99,35,Completed
1088,Chloe Watson,chloe@email.com,5558080,USA,2023/05/11,6,19.99,26,Pending
1090,Elena Brooks,elena@gmail.com,5551122,USA,2023/05/13,5,99.99,,Shipped
1091,Felix Carter,felix@email.com,5552233,Canada,2023/05/14,3,54.99,44,Completed
1093,Hugo Martinez,hugo@email.com,,UK,2023/05/16,4,29.99,,Pending
1094,Iris Thompson,iris.thompson@email,5553344,USA,2023/05/17,7,64.99,32,Completed
1097,Logan Webb,logan@email.com,5556677,Canada,2023/05/20,5,84.99,37,Completed
1099,Noah Holt,noah.holt@email.com,5557788,UK,2023/05/22,8,74.99,,Completed
1100,Olivia Garcia, olivia.garcia@email.com ,5558899,USA,2023/05/23,3,34.99,41,Pending
1101,Peter Crawford,peter@email.com,5559900,USA,2023/05/24,1,99.99,,Completed
1102,Quinn Stevens,quinn@gmail.com,5551010,USA,2023/05/25,6,24.99,28,Shipped
1104,Samuel Knight,samuel.knight@email,5553030,UK,2023/05/27,2,59.99,,Completed
1106,Umar Ahmed,umar@yahoo.com,5554040,USA,2023/05/29,4,44.99,,Pending
1108,Wade Pierce,,5556060,USA,2023/05/31,7,19.99,,Shipped
1109,Willow Hunt,willow.hunt@email.com,5557070,Canada,2023/06/01,3,89.99,31,Completed
1111,Yara Freeman,yara@email.com,,USA,2023/06/03,2,34.99,,Processing
1112,Zane Gilbert,zane.gilbert@email,5559090,USA,2023/06/04,8,64.99,36,Completed
1114,Blake Wagner,blake@gmail.com,5552222,USA,2023/06/06,4,29.99,,Shipped
1115,Clara Mason,,5553333,Canada,2023/06/07,6,74.99,27,Completed
1117,Ella Dixon,ella.dixon@email,5554444,USA,2023/06/09,3,99.99,,Completed
1119,Gemma Fox,gemma@yahoo.com,5556666,USA,2023/06/11,5,54.99,,Shipped
1120,Henry Wood,henry@email.com,5557777,Canada,2023/06/12,2,39.99,,Processing
1122,Jack Ryan,jack.ryan@email.com,,UK,2023/06/14,4,84.99,,Cancelled
1123,Kira Lane,kira@email.com,5559999,USA,2023/06/15,1,24.99,45,Completed
1126,Nate Wells,nate@email.com,5555656,Canada,2023/06/18,8,79.99,29,Shipped
1128,Pablo Grant,pablo@gmail.com,,USA,2023/06/20,5,29.99,,Processing
1129,Quincy Hart,,5559090,USA,2023/06/21,2,99.99,33,Completed
1131,Sara Bell,sara.bell@email.com,5552424,Canada,2023/06/23,6,59.99,41,Shipped
1132,Troy Bush, troy@yahoo.com ,5553535,USA,2023/06/24,4,19.99,,Completed
1134,Vince Carr,vince.carr@email,5554646,USA,2023/06/26,7,44.99,37,Cancelled
1137,Yuri Mann,,5557979,Canada,2023/06/29,3,24.99,28,Pending
1138,Zara Lamb,zara.lamb@email.com,,UK,2023/06/30,5,54.99,,Shipped
1139,Aaron Page,aaron@gmail.com,5558080,USA,2023/07/01,2,34.99,,Completed
1140,Bella Marsh, bella@email.com ,5559191,USA,2023/07/02,8,64.99,,Returned
1144,Faye Bates,,5553344,UK,2023/07/06,6,29.99,42,Processing
1145,Gage Lyons,gage@yahoo.com,5554455,USA,2023/07/07,1,99.99,,Completed
1146,Hope Byrd,hope@email.com,5555566,USA,2023/07/08,7,19.99,,Cancelled
1147,Ivan Cruz, ivan.cruz@email.com ,5556677,USA,2023/07/09,3,74.99,36,Pending
1148,Jade Rose,jade@email.com,,Canada,2023/07/10,5,44.99,,Shipped
1151,Marc Dunn,marc@email.com,5559900,USA,2023/07/13,4,34.99,29,Processing
1153,Owen Gates,owen.gates@email.com,,Canada,2023/07/15,8,24.99,,Pending
1154,Piper Hale, piper@gmail.com ,5552020,USA,2023/07/16,3,64.99,,Shipped
1157,Sage Moon,sage.moon@email,5555050,USA,2023/07/19,2,79.99,,Processing
1158,Tate Ford,tate@yahoo.com,,USA,2023/07/20,5,19.99,,Completed
1159,Unity Bell,unity@email.com,5556060,Canada,2023/07/21,1,99.99,34,Pending
1161,Wade Shaw,wade@email.com,5558080,USA,2023/07/23,7,54.99,,Completed
1164,Zola Pine,,5551111,Canada,2023/07/26,8,29.99,41,Pending
1165,Adam Troy,adam.troy@email.com,5552222,USA,2023/07/27,2,64.99,,Completed
1167,Cody Sage,cody@email.com,,USA,2023/07/29,5,84.99,,Cancelled
1169,Elle Quinn,elle.quinn@email,5555555,USA,2023/07/31,6,19.99,,Processing
1170,Ford West,ford@yahoo.com,5556666,Canada,2023/08/01,1,99.99,,Pending
1172,Hawk Stone,hawk@email.com,,USA,2023/08/03,7,54.99,,Completed
1173,Iris Vale, iris.vale@email.com ,5558888,USA,2023/08/04,4,29.99,37,Returned
1175,Kyla Reed,kyla.reed@email,5551212,Canada,2023/08/06,8,44.99,,Processing
1178,Nash Cole, nash@email.com ,5555656,USA,2023/08/09,5,34.99,32,Shipped
1179,Opal Dean,opal@email.com,5557878,USA,2023/08/10,2,89.99,,Completed
1180,Penn Hart,penn.hart@email,5559090,USA,2023/08/11,6,24.99,,Returned
1183,Skye Frost,,5552424,USA,2023/08/14,4,44.99,39,Pending
1184,Trey Banks,trey.banks@email.com,5553535,USA,2023/08/15,7,19.99,,Shipped
1186,Wren Park, wren@email.com ,,Canada,2023/08/17,3,34.99,,Completed
1187,Zeke Lynn,zeke@email.com,5555757,USA,2023/08/18,5,54.99,,Processing
1190,Cruz Dale,cruz@email.com,,USA,2023/08/21,2,44.99,,Completed
